봄여름가을겨울 재배,재배 지역,작업기간,작업시기,추천작업1,추천작업2,추천작업3,추천작업4,추천작업5,항목구분,가이드분류,체크리스트,주기유형,간격일,작업분류,비고
억제재배,,본포 관리(생육기),아주심기 후~수확 전,병해충 방제,,,,,가이드,병해충 방제,농약안전사용기준을 지켜서 방제해주세요.,-,,pest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,수확기,10월 중순~1월 하순,수확,,,,,작업,,수확,주기성,2,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
억제재배,,수확기,10월 중순~1월 하순,수확,,,,,작업메모,,적기에 크기와 색이 든 오이를 2~3일 간격으로 계속 수확해주세요.,-,,harvest,실시간 날씨경보·뉴스 항목은 저장된 귀농지역+실측데이터가 있을 때만 자동 추가됨(이 표에는 미포함)
부록,,기상재해 대응,발생시기: 겨울·봄,기상재해 대응: 폭설·폭풍,,,,,기상재해대응,,"폭설·폭풍에 대비해 하우스 시설을 미리 보강하고, 피해가 나면 즉시 응급복구하며 강풍에 대비해 비닐끈을 고정해주세요.",실시간조건부,,weather-disaster,증상: 시설 파손·생육 피해 / 저장된 지역의 최근 기상특보·실측치와 일치할 때만 노출
부록,,기상재해 대응,발생시기: 저온·단일기,기상재해 대응: 순멎이현상,,,,,기상재해대응,,"적온관리(낮 23~25℃·밤 12℃ 이상)를 하고, 알맞게 물주기와 웃거름을 해주세요.",실시간조건부,,weather-disaster,"증상: 저온·단일 조건, 모 기르기 때 건조하거나 질소가 부족하면 발생 / 저장된 지역의 최근 기상특보·실측치와 일치할 때만 노출"
부록,,기상재해 대응,발생시기: 생육기 전반,기상재해 대응: 부정형과(곡과·선세과·곤봉과),,,,,기상재해대응,,"저온에 강한 품종을 선택해 적온관리를 하고, 질소 웃거름과 충분한 물주기를 해주세요.",실시간조건부,,weather-disaster,"증상: 열매자람 불량, 고온·저온·햇볕 부족, 질소 부족 시 발생 / 저장된 지역의 최근 기상특보·실측치와 일치할 때만 노출"
부록,,기상재해 대응,발생시기: 생육기 전반,기상재해 대응: 쓴맛과,,,,,기상재해대응,,"거름주기를 알맞게 하고 보온·햇볕 관리를 잘 하며, 알맞은 품종 선택과 토양 적습 유지를 해주세요.",실시간조건부,,weather-disaster,"증상: 질소 과다 또는 인산·칼리 부족, 저온·고온 건조·다습, 햇빛 부족 시 발생 / 저장된 지역의 최근 기상특보·실측치와 일치할 때만 노출"
부록,,병해충 방제,"생육기 전반, 상시 예방",병해충 방제: 흰가루병,,,,,병해충방제,,적용약제로 농약안전사용기준에 따라 방제해주세요.,실시간조건부,,pest-control,유형: 병해 / 관련 키워드가 포함된 최근 7일 이내 뉴스가 있을 때만 노출
부록,,병해충 방제,"생육기 전반, 상시 예방",병해충 방제: 노균병,,,,,병해충방제,,적용약제로 농약안전사용기준에 따라 방제해주세요.,실시간조건부,,pest-control,유형: 병해 / 관련 키워드가 포함된 최근 7일 이내 뉴스가 있을 때만 노출
부록,,병해충 방제,"생육기 전반, 상시 예방",병해충 방제: 잿빛곰팡이병,,,,,병해충방제,,적용약제로 농약안전사용기준에 따라 방제해주세요.,실시간조건부,,pest-control,유형: 병해 / 관련 키워드가 포함된 최근 7일 이내 뉴스가 있을 때만 노출
부록,,병해충 방제,"생육기 전반, 상시 예방",병해충 방제: 진딧물,,,,,병해충방제,,적용약제로 농약안전사용기준에 따라 방제해주세요.,실시간조건부,,pest-control,유형: 충해 / 관련 키워드가 포함된 최근 7일 이내 뉴스가 있을 때만 노출
